Gold;Predicted;rouge1;rouge2;rougeL;rougeLsum;precision;recall;f1;bleu;precisions;brevity_penalty;length_ratio;translation_length;reference_length;perplexities;mean_perplexity;Unnamed: 17;blanc_help_score;blanc_tune_score;lens_score;sari_score;sari_add_score;sari_keep_score;sari_del_score;QuestEval_FScore;QuestEval_Precision;QuestEval_Recall;challenge_SpokenLanguage;challenge_SpokenLanguage_freq;challenge_SpeakerDynamics;challenge_SpeakerDynamics_freq;challenge_Coref;challenge_Coref_freq;challenge_HierarchicalDiscouse;challenge_HierarchicalDiscouse_freq;challenge_ContextualTurns;challenge_ContextualTurns_freq;challenge_ImplicitContext;challenge_ImplicitContext_freq;challenge_DecisionDynamics;challenge_DecisionDynamics_freq;challenge_LowInfo;challenge_LowInfo_freq;error_MissingInfo;error_MissingInfo_impact;error_TotalOmission;error_TotalOmission_impact;error_PartialOmission;error_PartialOmission_impact;error_Redundancy;error_Redundancy_impact;error_WrongRef;error_WrongRef_impact;error_IncorrectReasoning;error_IncorrectReasoning_impact;error_Hallucination;error_Hallucination_impact;error_Intrinsic;error_Intrinsic_impact;error_Extrinsic;error_Extrinsic_impact;error_Incoherence;error_Incoherence_impact;error_LinguisticInaccuracy;error_LinguisticInaccuracy_impact;error_StructuralDisorganization;error_StructuralDisorganization_impact
"The group discussed the first version of the Bayes-net used to work out a user's intentions when asking for directions from a navigation device. Three intentions were identified: Vista (to view), Enter (to visit) and Tango (to approach). The structure of the belief-net comprises, firstly, a feature layer, which includes linguistic, discourse and world knowledge information that can be gleaned from the data. It is possible for these variables to form thematic clusters( eg ""entrance"", ""type of object"", ""verb""), each one with a separate middle layer.  At this stage, all the actual probabilities are ad-hoc and hand-coded. However, there has been progress in the design and organisation of experiments, that will eventually provide data more useful and appropriate for this task.";"This was the first presentation of the JavaBayes project.
It was about the search for the middle layer of the network.
The group discussed the admission fee, the time of day, and the location of the building.
The team also discussed the probability distribution, which was not set, and how to interpret it.
Finally, the group talked about how to make it easier for the participants to enter the building, and whether or not they should pay admission fee.
Then, the discussion turned to the topic of the discourse, which the group thought was important.";0.2805429864253393;0.0639269406392694;0.1719457013574661;0.2081447963800905;0.8604123592376709;0.8276334404945374;0.8437047004699707;0.0336455866191896;0.12880338912145675;0.6678646640021065;0.7124183006535948;109;153;19.682241439819336;19.682241439819336;;0.0379746835443038;0.0126582278481012;86.51592585205212;36.71664013345854;1.6735319224326763;8.987961044844804;99.48842743309814;0.0498474937582753;0.0932676757502397;0.0064273117663109;1;4;1;3;1;5;1;3;1;4;1;3;1;2;1;2;1;3;1;2;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1
The group members mainly talked about the details of the belief-net framework. They first discussed the way to make the definition of user and situation clear and set up the standards, e.g., user thrift, based on user's budget. Then they turned to the discussion about endpoint decision. They mentioned approaches including setting features/modes of like selling, fixing and exhibiting, and this inspired the group members to design user compatibility nodes of which value would depend on the user status and situation. They further discussed Go-there decision, which is related to the previous idea using the similar set of the ontologies. Finally, they shifted the topic to different probability computation methods for belief-nets and thought of solutions to issues with limited data annotation.;"The meeting was mainly about the design of the belief-net and the decision nodes.
Firstly, the group discussed the decision node, which was based on the user model.
Then, they discussed decision nodes which were based on user models.
Finally, they talked about decision nodes, which are based on decision nodes and decision nodes respectively.
Then the group talked about how they could make decisions based on their own beliefs.
Then they discussed the model, which is based on a user model, and the model of the endpoint, which they could use to make decisions.";0.4375;0.1531531531531531;0.2767857142857143;0.2946428571428571;0.8804649710655212;0.8532869815826416;0.8666629195213318;0.0631223694413364;0.1933861865720841;0.7524628369250382;0.7785714285714286;109;140;14.877326965332031;14.877326965332031;;0.1666666666666666;0.0952380952380952;36.12078407922406;46.00891013748934;4.523034978467639;33.8481143208926;99.65558111310776;0.1154920382796519;0.2118557333137448;0.019128343245559;1;4;1;4;1;4;1;3;1;4;1;2;1;2;1;3;1;5;1;5;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"The meeting was taken up by discussion about a thesis proposal and a talk about to take place at EML. It was advised that more emphasis should be put on the role of construal in the understanding of metaphor and metonymy. Base constructions deal with the norm, while further general domain mechanisms determine how the constructions are invoked depending on the context. Several potential examples of polysemy were discussed in detail: ""walk/run into"", ""on the bus"", ""out of film"", ""where is X?"". However, none of them was an example of lexical polysemy resolved by construal straightforward enough to include in the proposal; the tourist domain is not metaphor rich.";"The meeting began with a discussion about the project proposal.
The team discussed the construction of the building, the model, and how it would be implemented.
Then, the team talked about the model.
The model was based on the model of a building, and the model would be based on its construction and model.
Finally, the group discussed the model and its implementation, and concluded that the model could be used to build a probabilistic relational model that would be able to deal with complex metonymy and metonymic cases.";0.3316582914572864;0.0507614213197969;0.1809045226130653;0.2010050251256281;0.8562625646591187;0.8330644369125366;0.844504177570343;0.0;0.11510101010101009;0.7261490370736908;0.7575757575757576;100;132;15.237222671508789;15.237222671508787;;0.1269841269841269;0.0793650793650793;59.68789636401704;37.74982604813675;2.199074074074074;11.44927536231884;99.60112870801734;0.0412377605367971;0.0382357842248419;0.0442397368487523;1;5;1;5;1;2;1;2;1;3;0;0;1;1;1;2;1;4;1;4;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In this meeting, the speakers addressed issues that related to their meeting annotation progress. They talked about the types and variability of the future meetings. This led to them speaking about how to use their recording equipment if they got groups outside of their own departments to record meetings. Additionally, they discussed how to handle the storage of meetings on disk. They eventually address how to handle speech overlap and speaker anonymity, which were two crucial issues.;"The meeting began with a discussion about the nature of the data collected by the meeting.
The meeting ended with a presentation by a group of linguistics grad students.
The group discussed how to collect more data and how to use it.
Finally, the group discussed the possibility of recording more meetings.
The discussion turned to the topic of the overlapping zones, which would be useful for summarizing meetings.
Then, the meeting concluded with an update on the current procedural change that the group had made to the Meeting Recorder, which should be used for summarization.";0.2890173410404624;0.0818713450292397;0.2196531791907514;0.2080924855491329;0.8726940155029297;0.8738213777542114;0.8732572793960571;0.0;0.10644740479646139;1.0;1.2470588235294118;106;85;17.96877670288086;17.96877670288086;;0.0980392156862745;0.0392156862745098;79.49156625757931;37.11681492168351;1.9425019425019427;9.66463470445018;99.7433081180984;0.0814010759119136;0.1582450481287914;0.0045571036950357;1;3;1;3;1;2;1;2;1;3;0;0;0;0;1;3;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2
The group discussed recording equipment issues, including the purchase of two additional headsets and the prospect of getting a new base station and a set of wireless microphones to replace those wired microphones currently in use. Speaker fe008 presented the current status on transcriptions, and explained procedures for cleaning up transcripts and ensuring they conform with set conventions. Speaker mn014 briefly described his efforts to normalize loudness levels across speech channels to distinguish between foreground and background speech. Finally, the group discussed legal and procedural issues concerning the provision of transcripts to meeting participants for 'bleeping out' any sections of speech they want excluded from the Meeting Recorder database.;"The meeting began with a discussion about the recording of the meeting.
The meeting ended with a presentation by the team members on the progress of the recording.
The team members then discussed the process of recording the meeting, and how they could make it easier for people to access the transcriptions.
Finally, the team discussed how to make the recording easier and more efficient.
They also discussed the possibility of having a printout of the transcript, which would be easier to transcribe, and the possibility that the transcript could be edited by hand.
Lastly, they discussed the technical aspects of recording.";0.3033175355450237;0.0287081339712918;0.1800947867298578;0.2180094786729857;0.8797870874404907;0.8512243032455444;0.8652700185775757;0.0385622996163593;0.10200874252312306;0.9738006453054988;0.9741379310344828;113;116;9.826701164245605;9.826701164245604;;0.0704225352112676;0.0422535211267605;82.85996436172194;36.13568324776535;0.9615384615384616;8.15884367365716;99.28666760810044;0.1209528201013094;0.2210451238020323;0.0208605164005866;1;3;1;3;1;2;1;2;1;3;1;1;1;2;1;2;1;3;0;0;1;3;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1
"A pressing concern for the group is the DARPA meeting in July, which is only a short time away, and for which they would like to have some progress. PLP results for the front-end look good, with the group also reporting progress in segmentation: Thilo's segmenter will now be used and ways of improving performance investigated; The classifier segmentation is progressing well, especially in the use of prosody for identifying interruption. Work on the front end continues, with improvements of 3-5% being made.";"The meeting was mainly about the progress of the transcribers' work on the SRI system.
First, the team discussed how they could improve the transcriptions.
Then, they discussed how to improve the transcriber interface.
Finally, they talked about how to make it easier to transcribe transcripts.
The team also discussed the need for a web interface that would help with transcribing transcripts.
Then the team talked about the importance of having a high-pass filter for transcribing transcriptions, and how to use it to model speech patterns.
Lastly, the group discussed the future direction of the recording.";0.2841530054644808;0.0331491712707182;0.1420765027322404;0.2076502732240437;0.8530199527740479;0.845406174659729;0.8491959571838379;0.0;0.0810834198684666;1.0;1.125;108;96;11.837542533874512;11.837542533874512;;-0.0384615384615384;0.0192307692307692;84.40159844048773;37.61519219699978;2.3875968992248064;10.785856651830516;99.672123039944;0.024760049844366;0.0390415572457843;0.0104785424429477;1;3;1;3;1;2;1;1;1;2;1;2;1;3;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
The participants discussed results from the experiments that had been conducted. Switching between tasks in the same language had smaller errors than multilingual models. The professor thought that increasing the parameters of the net for larger multi-lingual models would be helpful. The team decided that they should experiment further with different linguistic features. They also discussed how they could speed up their work by relying on greater computational resources.;"The meeting was mainly about the results of the HTK training testings.
The group discussed how to train neural networks for multi-language tasks.
The team also discussed how they could improve the performance of the task data.
Finally, the group discussed the training of neural networks.
The results were mixed, but the team found that the training was effective.
The neural networks were trained on a single language and tested on another language.
The task data were also mixed, and the results were not good.
The meeting ended with a discussion about the training data.";0.2771084337349397;0.073170731707317;0.1686746987951807;0.2289156626506024;0.875007152557373;0.8783332705497742;0.8766670227050781;0.0617013267186153;0.09719661787806136;1.0;1.4324324324324325;106;74;13.888587951660156;13.888587951660156;;0.0384615384615384;0.0384615384615384;84.36130978450818;37.52718462527312;5.343510036643219;7.815207385748321;99.4228364534278;0.0454346967804064;0.0700707276735235;0.0207986658872893;1;3;1;3;1;3;1;2;1;3;1;1;1;2;1;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1
The meeting covered the issues with different kinds of mics, progress on the Aurora project, effectiveness of spectral subtraction, adding parameter to spectral coefficient, and studying energy in the data, along with a short discussion on student housing. The team thought that the LDA was doing well for the Aurora project, where the team had made good progress. The linear normalization was not as good. For spectral subtraction, the team discussed recreating data with FFT of combining the Weiner filtering with the signal subspace. The team had not made much progress on using spectral coefficients for voice-unvoice. The current approach was to study the variance, so other ideas were suggested. The meeting ended with a short discussion on student housing and a graduate student's interest in studying energy.;"The meeting began with a discussion about the progress of the speech enhancement techniques.
The team discussed how they could reduce the time constant and spectral subtraction in order to get rid of the noise and the channel effect.
Then, they discussed how to combine the two approaches to improve the performance of speech enhancement.
Finally, the team talked about how they can combine the different approaches.
They decided to use the SRI recognizer instead of the LDA filters.
The meeting ended with the team discussing how to reduce noise and channel effect, and how to do that in combination.";0.3565217391304348;0.1052631578947368;0.2347826086956521;0.208695652173913;0.8751173615455627;0.8602708578109741;0.8676305413246155;0.0637510478350152;0.16352800427903277;0.7320352536147781;0.7622377622377622;109;143;20.01847267150879;20.01847267150879;;0.1647058823529411;0.1176470588235294;78.89893353795229;38.66046739237255;4.457183167709484;11.876695379909387;99.64752362949876;0.0513861226326724;0.0662037917215417;0.0365684535438031;1;3;1;3;1;2;1;4;1;3;1;2;1;3;1;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The team was coming close to finalizing the model for Aurora. They were still trying to make some improvements to improve their score. The team began with a discussion about how reverberation could be better accounted for. The professor thought that experimenting with different filters could help achieve a better signal-to-noise ratio. The new system for estimating silence probabilities that the team had added to the model was very effective, but it created a 220ms latency in the VAD. The team was not sure what kinds of constraints would be placed on latency eventually. They wanted to play it safe. The models, over all, were performing well, though the team intended to keep improving them. The team was also trying to figure out how to deal with different kinds of background noise. The meeting ended with a discussion of logistical issues.;"The meeting focused on the performance of the Aurora HTK system baseline system.
The group discussed how to reduce the number of features in the model, and how to do that.
The meeting concluded with a discussion about how to further improve the model.
The team also discussed how they could reduce the amount of noise that was added to the model as well as how to make it more efficient.
Finally, the group discussed the neural net, which was used to train the neural network for speech recognition.
The discussion turned to the task of improving the model and the model performance.";0.4308943089430894;0.1147540983606557;0.2439024390243902;0.2682926829268293;0.8827398419380188;0.8645620942115784;0.8735564351081848;0.0739513227052688;0.19054239885661906;0.681180081161967;0.7225806451612903;112;155;15.333354949951172;15.333354949951172;;0.1612903225806451;0.1290322580645161;66.84418176406373;39.80963450906715;5.934873090942454;14.082823770572231;99.41120666568676;0.0847824568332579;0.1446726061625494;0.0248923075039663;1;3;1;4;1;2;1;3;1;2;1;2;1;2;1;1;1;2;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3
The whole meeting was a special Committee on the COVID-19 Pandemic. After some regulations proposed by The Chair, the members presented many petitions on behalf of different areas. Then the meeting proceeded to questioning ministers, the attendees asked for the reasons that the government put easy policy for fraudulence and tax evasion of businessmen. Moreover, the participants required government support under the COVID-19 Pandemic, not only for the elderly and vulnerable people, but also for energy resources and tourism sectors. At the same time, the exact funding from the government should be given to green economies including agriculture and forestry. In addition, the meeting also discussed the current situations of different sectors such as employment, fishing and tourism, oil and gas and business affected by the Covid-19 and called for government support for these sectors. Last but not least, the attendees required strict implementations of the laws and appealed for process following. They wanted a transparency and open environment for voting and debating under the precondition of community safety. Also, they wanted affordable medication including vaccines as a part of a sound health care system for their people.;"The meeting was mainly about the COVID-19 pandemic and the government's response to it.
First, the Minister of Public Safety and Emergency Preparedness introduced a petition on behalf of the members of the committee.
The petition was for the government to stop targeting law-abiding firearms owners.
It was for this reason that the government decided to implement a universal direct payment for all, including those with disabilities.
The meeting was also about the impact on the economy of the country.
The minister also discussed the impact of COVID's pandemic on the local economy.
The government also discussed how to deal with the high cost of living.";0.3787375415282392;0.1137123745819397;0.2392026578073089;0.2325581395348837;0.8712645769119263;0.8444597721099854;0.8576527833938599;0.0;0.1569041399188622;0.4454386944628078;0.5528846153846154;115;208;15.334843635559082;15.334843635559082;;0.0762711864406779;0.059322033898305;73.43545272564026;38.29146778045645;1.4841767131979695;14.156694145011638;99.23353248315976;0.1472568022696486;0.1924987175179095;0.1020148870213876;0;0;1;3;1;1;1;4;1;2;0;0;1;2;1;1;1;3;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
The meeting started with the tabling of documents, followed by petitions by various members of the house. The petitions included help for groups such as environment-protecting groups seeking assistance from the Government. The meeting then transitioned to statements by its members regarding the current successes and failures of their constituents. Finally, members got to question the ministers on various issues such as scrutiny on spending and providing assistance, financial or otherwise, to groups affected by COVID-19.;"This is the 20th meeting of the Special Committee on the COVID-19 Pandemic.
The meeting began with the introduction of a bill to extend the CERB for Canadians living with disabilities.
The Minister of Finance introduced the bill, which was to increase the scope of the wage subsidy and increase the flexibility of the program.
The bill was to be debated and voted on by the members of Parliament.
In the end, the meeting ended with a discussion about the impact of COVID on the lives of Canadians with disabilities and the impact on the economy.
The Prime Minister promised to continue to support the efforts of the government.";0.2872340425531914;0.075268817204301;0.1914893617021276;0.2127659574468085;0.8623047471046448;0.8605858087539673;0.8614444136619568;0.0;0.08134426376555312;1.0;1.3928571428571428;117;84;16.199865341186523;16.199865341186523;;0.0816326530612244;0.0612244897959183;69.53886309908248;36.10971987326207;0.0;8.661996404389235;99.66716321539695;0.1416606862996486;0.1578869711578762;0.1254344014414211;0;0;1;2;1;1;1;5;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was the eleventh evidence session on the Children Abolition of Defense of Reasonable Publishment Wales Bill. Barry Hughes was there to answer questions related to the Bill. Six main topics that had been discussed or explained. The first one was how the Bill protected the children in terms of prosecutions. The second part explained the divergence between regions and the Bill's implication on England. The third part explained how the law was implemented, and the fourth talked about prosecutions and potential alternatives. Barry Hughes then further explained our-of-court disposals and responded to a specific infrastructure for these cases. In the last part, the meeting turned to discuss a number of unintended consequences related to the Bill.;"This is the eleventh evidence session on the Children (Abolition of Defence of Reasonable Punishment) Bill.
Firstly, Barry Hughes, Chief Crown Prosecutor for Wales, introduced the Children and Young People and Education Bill.
The Bill was introduced in 2007.
It was aimed at addressing the divergence between the criminal law in Wales and England and the CPS guidelines.
Secondly, the Bill was designed to address the public interest in criminal law.
The bill was designed for the purpose of reducing the number of criminal charges and to make it more relevant to the criminal justice system.";0.488479262672811;0.1767441860465116;0.3317972350230415;0.3502304147465437;0.8758933544158936;0.8543730974197388;0.8649994134902954;0.1007898338557163;0.20466298414191203;0.830950389901292;0.84375;108;128;21.16220474243164;21.16220474243164;;0.1944444444444444;0.0833333333333333;63.75527285570867;44.2424061344362;0.0;33.07867003435204;99.64854836895658;0.1471191389059401;0.2613553070093838;0.0328829708024963;1;1;1;2;1;2;1;3;1;1;0;0;0;0;1;2;1;5;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This meeting was a Children, Young People and Education Committee, and it was conducted in a question and answer format regarding the inquiry into the status of the Welsh baccalaureate qualification. They had discussions on whether employers understood the meaning of the Welsh bac and how to actually improve the employer's understanding of the Welsh bac. Then they gave some answers regarding how well the Welsh bac helped to prepare learners for employment. In addition, they had discussions on whether there was a difference in how the Welsh bac was valued by learners at the different levels that it was studied, and to what extent that universities understood the value of the Welsh bac. They also talked about how comparable the Welsh bac was to other qualifications. Then they discussed the idea of universal adoption. Last but not least, they shared some opinions on the necessity of introducing a specialist teacher-training qualification.;"The Children, Young People and Education Committee (CYPEC) was meeting to discuss the status of the Welsh baccalaureate qualification.
The meeting began with a discussion about the current situation in Wales.
The Welsh bac qualification is a combination of qualifications, including engineering, computer science, engineering and social care.
The bac is an integral part of the curriculum, but it is not a compulsory qualification.
Therefore, the bac should be considered separately from the other qualifications, such as vocational and technical.
In the end, the meeting was about the impact of universal adoption on Wales bac.";0.4257028112449799;0.145748987854251;0.2811244979919678;0.3052208835341365;0.889975905418396;0.8773541450500488;0.8836199641227722;0.1100885391136292;0.233491404248285;0.6203462572013894;0.676829268292683;111;164;17.14995765686035;17.14995765686035;;0.202127659574468;0.0531914893617021;59.508472888743455;43.22571982323349;3.10077519379845;27.44533310820248;99.13105116769954;0.1911107554377744;0.2737607718202695;0.1084607390552792;1;1;1;2;1;2;1;3;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;1;1;0;0;1;1;1;2;0;0;0;0
The meeting was mainly about the reasons behind and the measurements against the increasing exclusions from school. The increase brought more pressure to EOTAS in the aspects of finance, transition, curriculum arrangement and the recruitment of professional staff. Although much time and finance had been devoted to the PRU, the education quality could still not be assured. The collaboration between the PRU and the schools required to be strengthened. Besides, training for special education ought to be included in teachers' colleges to meet EOTAS learners' special needs. Their psychological health was another concerning problem.;"The Children, Young People and Education Committee (M&E) is an inquiry on education otherwise than at school.
The meeting was mainly focused on the impact of the new curriculum on EOTAS learners.
The committee also discussed the challenges faced by the local authorities in terms of providing support and support to young people who are at risk of being excluded.
In particular, the committee discussed the difficulties faced by students who were excluded from mainstream education, and how to deal with them.
In addition, the meeting discussed the impact on the children who are excluded and how they should be treated.";0.336734693877551;0.0515463917525773;0.1938775510204081;0.2040816326530612;0.8533615469932556;0.8544085025787354;0.8538846969604492;0.0478562591469389;0.11215470473301167;1.0;1.0961538461538465;114;104;17.257112503051758;17.257112503051758;;0.1016949152542373;0.0338983050847457;53.20408947934545;36.31610979617665;3.90807962529274;5.339069523730731;99.70118023950648;0.161475563420787;0.2977376856065801;0.025213441234994;0;0;1;1;1;1;1;2;1;2;1;2;0;0;1;2;1;1;0;0;1;1;1;2;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
The meeting between the Children, Young People and Education Committee and the Welsh Government was considered as an evidence session to scrutinise the Welsh Government's progress in developing the new curriculum for Wales. To start with, Kirsty Williams AM introduced the current feedback and emphasized that there was a concerted effort and a plan drawn up to try and ensure that there was as much engagement, knowledge and opportunity as possible in the new curriculum. Also, the spirit of co-construction was also included and the four purposes would ensure the legitimacy of changes. Besides,  'what matters' were the articulation of the big ideas and although there were significant differences between each sector, they act following the same guidance. Lastly, Kirsty Williams AM assured the meeting that human rights and financial resources were considered in the new curriculum.;"This was the Children, Young People and Education Committee's first meeting with the Welsh Government.
The meeting focused on the draft curriculum and its impact on children and young people.
The group discussed the current state of the curriculum and the impact of the new curriculum on their school performance.
In addition, the group also discussed the future direction of the current curriculum.
They also discussed how the curriculum could be adapted to meet the needs of different groups of pupils.
Finally, the meeting discussed the curriculum changes that were being proposed for Wales.";0.4188034188034187;0.1379310344827586;0.2649572649572649;0.282051282051282;0.8952023386955261;0.8559949398040771;0.875159740447998;0.0840582374239106;0.2025841998820099;0.6397985346799879;0.6912751677852349;103;149;10.182595252990723;10.182595252990724;;0.1071428571428571;0.0833333333333333;69.4162490951541;39.841929351593095;2.015151515151515;18.656853924015444;98.85378261561232;0.1957483350518065;0.3381123303578558;0.0533843397457572;1;1;1;2;1;2;1;2;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Project Manager introduced a new remote control project. The team started to know each other by drawing favourite animals. Project Manager proposed to price each remote control at 25 Euros, considering the 12.5-Euro production cost. The market range would be international and over all age groups. After the financial targets, the team discussed the remote design. Despite the ""one-for-all"" style, the remote was still supposed to be user-friendly. Standard features such as sorting through channels and adjusting volume would not lose their priority. The team, therefore, agreed on a style of basic buttons with a self-intuitive screen menu. Silver lightweight plastic was temporarily decided to be the material, for it is easily moulded and cost-saving.";"This is the first meeting of the new remote control project.
Firstly, Project Manager introduced the project plan.
Then, Industrial Designer and User Interface introduced the design of the remote control.
After that, the team got acquainted with each other and discussed their own ideas.
Finally, the group discussed the cost of the project and discussed how they could make it look as fashionable and stylish as a mobile phone.
Lastly, Marketing and Industrial Designer gave a presentation on the product's functional design.
They talked about the price of the product and how it could be cheaper and usable by all age groups.
Then the group talked about tool training.";0.3948497854077253;0.1038961038961039;0.1888412017167381;0.2575107296137339;0.8778283596038818;0.8537211418151855;0.865606963634491;0.0899651185103933;0.16735415337997034;0.9144514567406854;0.917910447761194;123;134;23.325586318969727;23.325586318969727;;0.1265822784810126;0.0632911392405063;79.91932205341755;39.15683739755975;3.936539119374437;14.433856612145728;99.10011646115908;0.1392970643012717;0.2149076726975008;0.0636864559050427;1;4;1;3;1;2;1;3;1;4;0;0;1;3;1;4;1;2;0;0;1;2;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;2
